struct_idx	county	phillimore	text_type
905	SUS	"11,84"	E
906	SUS	"11,85"	E
907	SUS	"11,86"	E
908	SUS	"11,87"	E
909	SUS	"11,88"	E
910	SUS	"11,89"	E
911	SUS	"11,90"	E
912	SUS	"11,91"	E
913	SUS	"11,92"	E
914	SUS	"11,93"	E
915	SUS	"11,94"	E
916	SUS	"11,95"	E
917	SUS	"11,96"	E
918	SUS	"11,97"	E
919	SUS	"11,98"	E
920	SUS	"11,99"	E
921	SUS	"11,100"	E
922	SUS	"11,101"	E
923	SUS	"11,102"	E
924	SUS	"11,103"	E
925	SUS	"11,104"	E
926	SUS	"11,105"	E
927	SUS	"11,106"	E
928	SUS	"11,107"	E
929	SUS	"11,108"	E
930	SUS	"11,109"	E
931	SUS	"11,110"	E
932	SUS	"11,111"	E
933	SUS	"11,112"	E
934	SUS	"11,113"	E
935	SUS	"11,114"	E
936	SUS	"11,115"	E
937	SUS	"11,116"	E
939	SUS	"12,1"	E
940	SUS	"12,2"	E
941	SUS	"12,3"	E
942	SUS	"12,4"	E
943	SUS	"12,5"	E
944	SUS	"12,6"	E
945	SUS	"12,7"	E
946	SUS	"12,8"	E
947	SUS	"12,9"	E
948	SUS	"12,10"	E
949	SUS	"12,11"	E
950	SUS	"12,12"	E
951	SUS	"12,13"	E
952	SUS	"12,14"	E
953	SUS	"12,15"	E
954	SUS	"12,16"	E
955	SUS	"12,17"	E
956	SUS	"12,18"	E
957	SUS	"12,19"	E
958	SUS	"12,20"	E
959	SUS	"12,21"	E
960	SUS	"12,22"	E
961	SUS	"12,23"	E
962	SUS	"12,24"	E
963	SUS	"12,25"	E
964	SUS	"12,26"	E
965	SUS	"12,27"	E
966	SUS	"12,28"	E
967	SUS	"12,29"	E
968	SUS	"12,30"	E
969	SUS	"12,31"	E
970	SUS	"12,32"	E
971	SUS	"12,33"	E
972	SUS	"12,34"	E
973	SUS	"12,35"	E
974	SUS	"12,36"	E
975	SUS	"12,37"	E
976	SUS	"12,38"	E
977	SUS	"12,39"	E
978	SUS	"12,40"	E
979	SUS	"12,41"	E
980	SUS	"12,42"	E
981	SUS	"12,43"	E
982	SUS	"12,44"	E
983	SUS	"12,45"	E
984	SUS	"12,46"	E
985	SUS	"12,47"	E
986	SUS	"12,48"	E
987	SUS	"12,49"	E
988	SUS	"12,50"	E
989	SUS	"12,51"	E
990	SUS	"12,52"	E
991	SUS	"12,53"	E
992	SUS	"12,54"	E
993	SUS	"12,55"	E
994	SUS	"12,56"	E
996	SUS	"13,1"	E
997	SUS	"13,2"	E
998	SUS	"13,3"	E
999	SUS	"13,4"	E
1000	SUS	"13,5"	E
1001	SUS	"13,6"	E
1002	SUS	"13,7"	E
1003	SUS	"13,8"	E
1004	SUS	"13,9"	E
1005	SUS	"13,10"	E
1006	SUS	"13,11"	E
1007	SUS	"13,12"	E
1008	SUS	"13,13"	E
1009	SUS	"13,14"	E
1010	SUS	"13,15"	E
1011	SUS	"13,16"	E
1012	SUS	"13,17"	E
1013	SUS	"13,18"	E
1014	SUS	"13,19"	E
