hundred,unique_id,tot_val_1524,tot_val_1543,tot_val_1581,tot_val_1674,count_1524,count_1543,count_1581,count_1674,max_val_1524,max_val_1543,max_val_1581,max_val_1674,surname_1524,surname_1543,surname_1581,surname_1674,unique_treatment_1524,unique_treatment_1543,unique_treatment_1581,unique_treatment_1674,unique_control_1524,unique_control_1543,unique_control_1581,unique_control_1674,avg_val_1524,avg_val_1543,avg_val_1581,avg_val_1674,tot_val_1840,count_1840,max_val_1840,surname_1840,unique_treatment_1840,unique_control_1840,avg_val_1840
West Budleigh,34894,5.0,,,,3.0,,,,3.0,,,,Whyterowe,,,,0.0,,,,0.0,,,,1.6666666666666667,,,,,,,,,,
West Budleigh,34895,1.0,,,,1.0,,,,1.0,,,,Yewance,,,,0.0,,,,0.0,,,,1.0,,,,,,,,,,
West Budleigh,34896,69.0,,,,5.0,,,,30.0,,,,Bea,,,,0.0,,,,0.0,,,,13.8,,,,,,,,,,
West Budleigh,34897,3.0,,,,2.0,,,,2.0,,,,Come,,,,0.0,,,,0.0,,,,1.5,,,,,,,,,,
West Budleigh,34898,13.0,,,,5.0,,,,5.0,,,,Holme,,,,0.0,,,,0.0,,,,2.6,,,,,,,,,,
West Budleigh,34899,7.0,,,,2.0,,,,5.0,,,,Bokyngham,,,,0.0,,,,0.0,,,,3.5,,,,,,,,,,
West Budleigh,34900,7.0,,,,5.0,,,,3.0,,,,Varlegh,,,,0.0,,,,0.0,,,,1.4,,,,,,,,,,
West Budleigh,34901,7.0,,,,2.0,,,,4.0,,,,Bea,,,,0.0,,,,0.0,,,,3.5,,,,,,,,,,
West Budleigh,34904,10.0,,,,1.0,,,,10.0,,,,Clyff,,,,0.0,,,,0.0,,,,10.0,,,,,,,,,,
West Budleigh,34905,7.0,,,,1.0,,,,7.0,,,,Cruys,,,,0.0,,,,0.0,,,,7.0,,,,,,,,,,
West Budleigh,34906,6.0,,,,3.0,,,,4.0,,,,Mortymer,,,,0.0,,,,0.0,,,,2.0,,,,,,,,,,
West Budleigh,34907,30.5,,,,3.0,,,,20.0,,,,Colyford,,,,0.0,,,,0.0,,,,10.166666666666666,,,,,,,,,,
West Budleigh,34908,6.0,,,,1.0,,,,6.0,,,,Bydgoode,,,,0.0,,,,0.0,,,,6.0,,,,,,,,,,
West Budleigh,34909,50.0,,,,1.0,,,,50.0,,,,Worthe,,,,0.0,,,,0.0,,,,50.0,,,,,,,,,,
West Budleigh,34910,4.0,,,,1.0,,,,4.0,,,,Randell,,,,0.0,,,,0.0,,,,4.0,,,,,,,,,,
West Budleigh,34911,2.0,,,,1.0,,,,2.0,,,,Southewode,,,,0.0,,,,0.0,,,,2.0,,,,,,,,,,
West Budleigh,34912,6.0,,,,1.0,,,,6.0,,,,Bynaford,,,,0.0,,,,0.0,,,,6.0,,,,,,,,,,
West Budleigh,34913,4.0,,,,3.0,,,,2.0,,,,Bynaford,,,,0.0,,,,0.0,,,,1.3333333333333333,,,,,,,,,,
West Budleigh,34914,1.0,,,,1.0,,,,1.0,,,,Westhorne,,,,0.0,,,,0.0,,,,1.0,,,,,,,,,,
West Budleigh,34915,10.0,,,,1.0,,,,10.0,,,,Sowrigge,,,,0.0,,,,0.0,,,,10.0,,,,,,,,,,
West Budleigh,34916,11.0,,,,1.0,,,,11.0,,,,Notte,,,,0.0,,,,0.0,,,,11.0,,,,,,,,,,
West Budleigh,34917,2.0,,,,1.0,,,,2.0,,,,Hotteshill,,,,0.0,,,,0.0,,,,2.0,,,,,,,,,,
West Budleigh,34918,1.0,,,,1.0,,,,1.0,,,,Hil,,,,0.0,,,,0.0,,,,1.0,,,,,,,,,,
West Budleigh,34919,2.0,,,,1.0,,,,2.0,,,,Hotteshyll,,,,0.0,,,,0.0,,,,2.0,,,,,,,,,,
