hundred,combined_id,tot_val_1524,tot_val_1543,tot_val_1581,tot_val_1674,count_1524,count_1543,count_1581,count_1674,max_val_1524,max_val_1543,max_val_1581,max_val_1674,surname_1524,surname_1543,surname_1581,surname_1674,combined_treatment_1524,combined_treatment_1543,combined_treatment_1581,combined_treatment_1674,combined_control_1524,combined_control_1543,combined_control_1581,combined_control_1674,avg_val_1524,avg_val_1543,avg_val_1581,avg_val_1674,tot_val_1840,count_1840,max_val_1840,surname_1840,combined_treatment_1840,combined_control_1840,avg_val_1840
South Molton,7044,1.0,,,,1.0,,,,1.0,,,,Molland,,,,0.0,,,,0.0,,,,1.0,,,,,,,,,,
South Molton,7062,,,3.0,4.0,,,1.0,1.0,,,3.0,4.0,,,Moggridge,Mugridge,,,0.0,0.0,,,0.0,0.0,,,3.0,4.0,44984.0,78.0,2350.0,Mogridge,0.0,0.0,576.7179487179487
South Molton,7079,,,,1.0,,,,1.0,,,,1.0,,,,Moone,,,,0.0,,,,0.0,,,,1.0,,,,,,,
South Molton,7089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.0,4.0,118.0,Murch,0.0,0.0,72.25
South Molton,7096,6.0,9.0,5.0,4.0,3.0,2.0,2.0,1.0,3.0,6.0,3.0,4.0,Marshall,Marshall,Marshall,Marshall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.5,2.5,4.0,,,,,,,
South Molton,7116,2.0,1.0,,,1.0,1.0,,,2.0,1.0,,,Muxworthy,Muxworthy,,,0.0,0.0,,,0.0,0.0,,,2.0,1.0,,,,,,,,,
South Molton,7121,1.0,,,,1.0,,,,1.0,,,,Mynard,,,,0.0,,,,0.0,,,,1.0,,,,,,,,,,
South Molton,7173,,2.0,,,,1.0,,,,2.0,,,,Neck,,,,0.0,,,,0.0,,,,2.0,,,,,,,,,
South Molton,7188,,1.0,,,,1.0,,,,1.0,,,,Nethercot,,,,0.0,,,,0.0,,,,1.0,,,,,,,,,
South Molton,7214,,1.0,,,,1.0,,,,1.0,,,,Knoll,,,,0.0,,,,0.0,,,,1.0,,,,,,,,,
South Molton,7234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7076.0,26.0,1096.0,Nicholls,0.0,0.0,272.15384615384613
South Molton,7236,,,,4.0,,,,1.0,,,,4.0,,,,Nicholas,,,,0.0,,,,0.0,,,,4.0,,,,,,,
South Molton,7277,10.0,16.0,,,1.0,4.0,,,10.0,5.0,,,Norman,Norman,,,0.0,0.0,,,0.0,0.0,,,10.0,4.0,,,,,,,,,
South Molton,7284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17489.0,35.0,1241.0,Norris,0.0,0.0,499.6857142857143
South Molton,7292,,2.0,,,,1.0,,,,2.0,,,,Northcombe,,,,0.0,,,,0.0,,,,2.0,,,,,,,,,
South Molton,7305,2.0,17.0,,,1.0,2.0,,,2.0,15.0,,,Northcote,Northcott,,,1.0,1.0,,,0.0,0.0,,,2.0,8.5,,,,,,,,,
South Molton,7331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,1.0,25.0,Notley,0.0,0.0,25.0
South Molton,7334,,7.0,,9.0,,2.0,,6.0,,6.0,,3.0,,Barne,,Barnes,,0.0,,0.0,,0.0,,0.0,,3.5,,1.5,28985.0,56.0,6062.0,Barnes,0.0,0.0,517.5892857142857
South Molton,7360,,,3.0,,,,1.0,,,,3.0,,,,Odam,,,,0.0,,,,0.0,,,,3.0,,,,,,,,
South Molton,7415,17.0,1.0,1.0,,4.0,1.0,1.0,,10.0,1.0,1.0,,Hamond,Hamond,Hamon,,0.0,0.0,0.0,,0.0,0.0,0.0,,4.25,1.0,1.0,,,,,,,,
South Molton,7430,,,,2.0,,,,1.0,,,,2.0,,,,Oram,,,,0.0,,,,0.0,,,,2.0,254.0,1.0,254.0,Oram,0.0,0.0,254.0
South Molton,7437,,19.0,6.0,1.0,,3.0,1.0,1.0,,12.0,6.0,1.0,,Hosegood,Hosegood,Hosgood,,0.0,0.0,0.0,,0.0,0.0,0.0,,6.333333333333333,6.0,1.0,1380.0,7.0,1266.0,Hosegood,0.0,0.0,197.14285714285714
South Molton,7447,29.0,,,,3.0,,,,20.0,,,,Way,,,,0.0,,,,0.0,,,,9.666666666666666,,,,,,,,,,
South Molton,7462,,,,1.0,,,,1.0,,,,1.0,,,,Osmond,,,,0.0,,,,0.0,,,,1.0,,,,,,,
South Molton,7479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30826.0,50.0,8315.0,Owen,0.0,0.0,616.52
South Molton,7508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492.0,5.0,363.0,Paddon,0.0,0.0,98.4
